,Title,Author,Publisher,Description,Weeks on List,Date,Main Category,Subcategory
12,STAY TRUE,Hua Hsu,Anchor,Winner of the 2023 Pulitzer Prize for memoir. A staff writer for The New Yorker remembers a friend who was killed in a carjacking.,4,2023-10-22,NONFICTION,Paperback Nonfiction
13,EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton,Harper Perennial,The British journalist shares stories and observations; the basis of the TV series.,17,2023-10-22,NONFICTION,Paperback Nonfiction
14,STRANGERS TO OURSELVES,Rachel Aviv,Picador,A writer for The New Yorker describes some people who faced the limits of psychiatric explanations for who they are.,2,2023-10-22,NONFICTION,Paperback Nonfiction
0,ATOMIC HABITS,James Clear,Avery,,202,2023-10-22,NONFICTION,"Advice, How-To & Miscellaneous"
1,NATASHA'S KITCHEN,Natasha Kravchuk with Rachel Holtzman,Clarkson Potter,,1,2023-10-22,NONFICTION,"Advice, How-To & Miscellaneous"
2,BUILD THE LIFE YOU WANT,Arthur C. Brooks and Oprah Winfrey,Portfolio,,4,2023-10-22,NONFICTION,"Advice, How-To & Miscellaneous"
3,THE CREATIVE ACT,Rick Rubin with Neil Strauss,Penguin Press,,38,2023-10-22,NONFICTION,"Advice, How-To & Miscellaneous"
4,GRIMOIRE GIRL,Hilarie Burton Morgan,HarperOne,,1,2023-10-22,NONFICTION,"Advice, How-To & Miscellaneous"
5,CLEAR THINKING,Shane Parrish,Portfolio,,1,2023-10-22,NONFICTION,"Advice, How-To & Miscellaneous"
6,SKINNYTASTE SIMPLE,Gina Homolka and Heather K. Jones,Clarkson Potter,,3,2023-10-22,NONFICTION,"Advice, How-To & Miscellaneous"
7,SEAFOOD SIMPLE,Eric Ripert,Random House,,1,2023-10-22,NONFICTION,"Advice, How-To & Miscellaneous"
8,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,HarperOne,,201,2023-10-22,NONFICTION,"Advice, How-To & Miscellaneous"
9,DAMAGED BUT NOT DESTROYED,Michael Todd,WaterBrook,,1,2023-10-22,NONFICTION,"Advice, How-To & Miscellaneous"
0,WINGS OF FIRE: A GUIDE TO THE DRAGON WORLD,Tui T. Sutherland. Illustrated by Joy Ang,Scholastic,A deeper dive into the legends of the 10 dragon tribes.,1,2023-10-22,CHILDREN,Children’s Middle Grade Hardcover
1,THE SUN AND THE STAR,Rick Riordan and Mark Oshiro,Disney Hyperion,The demigods Will and Nico embark on a dangerous journey to the Underworld to rescue an old friend.,23,2023-10-22,CHILDREN,Children’s Middle Grade Hardcover
2,WONDER,R.J. Palacio,Knopf,A boy with a facial deformity starts school.,417,2023-10-22,CHILDREN,Children’s Middle Grade Hardcover
3,ROSIE FROST AND THE FALCON QUEEN,Geri Halliwell-Horner,Philomel,Rosie Frost enters the Falcon Queen games at the elite Heverbridge School.,1,2023-10-22,CHILDREN,Children’s Middle Grade Hardcover
4,THE OFFICIAL HARRY POTTER COOKBOOK,Joanna Farrow,Scholastic,Forty plus recipes inspired by the films.,5,2023-10-22,CHILDREN,Children’s Middle Grade Hardcover
5,REFUGEE,Alan Gratz,Scholastic,Three children in three different conflicts look for safe haven.,241,2023-10-22,CHILDREN,Children’s Middle Grade Hardcover
6,THE LITTLE KID WITH THE BIG GREEN HAND,Matthew Gray Gubler,Amulet,Lenore is embarrassed by her giant green hand.,2,2023-10-22,CHILDREN,Children’s Middle Grade Hardcover
7,A HORSE NAMED SKY,Rosanne Parry. Illustrated by Kirbi Fagan,Greenwillow,The coming-of-age story of a young colt named Sky.,6,2023-10-22,CHILDREN,Children’s Middle Grade Hardcover
8,WRECKER,Carl Hiaasen,Knopf,A 15-year-old boy called Wrecker unwittingly gets caught up in a crime ring.,2,2023-10-22,CHILDREN,Children’s Middle Grade Hardcover
9,ODDER,Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"After a shark attack, Odder recuperates at the aquarium with the scientists who raised her.",55,2023-10-22,CHILDREN,Children’s Middle Grade Hardcover
0,JUST BECAUSE,Matthew McConaughey. Illustrated by Renée Kurilla,Viking,Wisdom about life’s contradictions.,4,2023-10-22,CHILDREN,Children’s Picture Books
1,HOW TO CATCH A MONSTER,Adam Wallace. Illustrated by Andy Elkerton,Sourcebooks Jabberwocky,A boy attempts to catch the monster in his closet.,8,2023-10-22,CHILDREN,Children’s Picture Books
2,HOW TO CATCH A WITCH,Alice Walstead. Illustrated by Megan Joyce,Sourcebooks Wonderland,The Catch Club Kids attempt to snare a witch on Halloween.,10,2023-10-22,CHILDREN,Children’s Picture Books
3,DON'T LET THE PIGEON DRIVE THE SLEIGH!,Mo Willems,Union Square Kids,The pigeon has his sights set on driving Santa's sleigh.,5,2023-10-22,CHILDREN,Children’s Picture Books
4,"THE BAD SEED PRESENTS: THE GOOD, THE BAD, AND THE SPOOKY",Jory John. Illustrated by Pete Oswald,HarperCollins,Bad Seed seeks the perfect Halloween costume.,24,2023-10-22,CHILDREN,Children’s Picture Books
5,THE LEAF THIEF,Alice Hemming. Illustrated by Nicola Slater,Sourcebooks Jabberwocky,Squirrel attempts to figure out who has stolen his leaves.,10,2023-10-22,CHILDREN,Children’s Picture Books
6,GRUMPY MONKEY DON'T BE SCARED,Suzanne Lang. Illustrated by Max Lang,Random House Studio,Jim Panzee and his friends brave the dark jungle to collect Halloween treats.,7,2023-10-22,CHILDREN,Children’s Picture Books
7,CREEPY CRAYON!,Aaron Reynolds. Illustrated by Peter Brown,Simon & Schuster,"Jasper finds a crayon that helps him in school, or so it seems.",18,2023-10-22,CHILDREN,Children’s Picture Books
8,THE CRAYONS TRICK OR TREAT,Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,Purple crayon teaches the rest of the crayons Halloween etiquette.,8,2023-10-22,CHILDREN,Children’s Picture Books
9,CREEPY PAIR OF UNDERWEAR,Aaron Reynolds. Illustrated by Peter Brown,Simon & Schuster,Jasper Rabbit deals with a pair of glowing underwear that won't go away.,27,2023-10-22,CHILDREN,Children’s Picture Books
0,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil.,759,2023-10-22,CHILDREN,Children’s Series
1,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,A boy battles mythological monsters.,693,2023-10-22,CHILDREN,Children’s Series
2,DIARY OF A WIMPY KID,tten and illustrated by Jeff Kinney,Amulet,The travails and challenges of adolescence.,760,2023-10-22,CHILDREN,Children’s Series
3,THE HUNGER GAMES,Suzanne Collins,Scholastic,"In a dystopia, a girl fights for survival on live TV.",296,2023-10-22,CHILDREN,Children’s Series
4,SPY SCHOOL,Stuart Gibbs,Simon & Schuster,"In a case of mistaken identity, a boy is recruited into a junior C.I.A. academy.",14,2023-10-22,CHILDREN,Children’s Series
5,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,Pippa Fitz-Amobi solves murderous crimes.,106,2023-10-22,CHILDREN,Children’s Series
6,THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",Avery Grambs tries to figure out why an inheritance from a stranger was bestowed upon her.,58,2023-10-22,CHILDREN,Children’s Series
7,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,"A beach house, summer love and enduring friendships.",77,2023-10-22,CHILDREN,Children’s Series
8,THE WILD ROBOT,Peter Brown,"Little, Brown","Roz the robot adapts to her surroundings on a remote, wild island.",2,2023-10-22,CHILDREN,Children’s Series
9,DORK DIARIES,Rachel Renée Russell,Simon & Schuster,Nikki Maxwell navigates the halls of middle school.,327,2023-10-22,CHILDREN,Children’s Series
0,DIVINE RIVALS,Rebecca Ross,Wednesday,Two young rival journalists find love through a magical connection.,16,2023-10-22,CHILDREN,Young Adult Hardcover
1,CURIOUS TIDES,Pascale Lacelle,Margaret K. McElderry,Emory develops new magical powers after a ritual gone awry leaves some of her friends drowned in a forbidden cave.,1,2023-10-22,CHILDREN,Young Adult Hardcover
2,THIS WINTER,Alice Oseman,Scholastic,"Siblings Tori, Charlie and Oliver deal with life challenges over the holiday season.",5,2023-10-22,CHILDREN,Young Adult Hardcover
3,NIGHT OF THE WITCH,Sara Raasch and Beth Revis,Sourcebooks Fire,"Otto, working undercover among witch hunters, and Fritzi, a witch, must work together to vanquish a common enemy.",1,2023-10-22,CHILDREN,Young Adult Hardcover
4,LONG LIVE THE PUMPKIN QUEEN,Shea Ernshaw,Disney,"Sally, the new Queen of Halloween Town, must save her town from a sleeping curse.",30,2023-10-22,CHILDREN,Young Adult Hardcover
5,THE SCARLET VEIL,Shelby Mahurin,HarperTeen,Célie investigates a series of murders in which the victims are drained of their blood.,2,2023-10-22,CHILDREN,Young Adult Hardcover
6,A STUDY IN DROWNING,Ava Reid,HarperTeen,Dark forces try to thwart Preston and Effy's efforts to unravel the mysteries of author Emrys Myrddin's Hiraeth Manor.,3,2023-10-22,CHILDREN,Young Adult Hardcover
7,FOUL HEART HUNTSMAN,Chloe Gong,Margaret K. McElderry,"Under the guise of a world tour, Rosalind sets out to save her kidnapped partner, Orion.",2,2023-10-22,CHILDREN,Young Adult Hardcover
8,FIVE SURVIVE,Holly Jackson,Delacorte,Six friends on a spring break road trip in an R.V. are the target of a sniper.,45,2023-10-22,CHILDREN,Young Adult Hardcover
9,SOLITAIRE,Alice Oseman,Scholastic,"Tori Spring is determined to find out who's behind the blog called Solitaire, which has caused serious pranks at her school.",23,2023-10-22,CHILDREN,Young Adult Hardcover
0,THE RUNNING GRAVE,Robert Galbraith,Mulholland,"The seventh book in the Cormoran Strike series. Strike's business partner, Robin Ellacott, goes inside a cult to rescue someone who has joined it.",1,2023-10-15,FICTION,Combined Print & E-Book Fiction
1,THE ARMOR OF LIGHT,Ken Follett,Viking,The fifth book in the Kingsbridge series. Change and turmoil affect various aspects of society in the latter part of the 18th century.,1,2023-10-15,FICTION,Combined Print & E-Book Fiction
2,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",22,2023-10-15,FICTION,Combined Print & E-Book Fiction
3,12 MONTHS TO LIVE,James Patterson and Mike Lupica,"Little, Brown",A criminal defense attorney who received a terminal diagnosis might be in danger of being murdered.,1,2023-10-15,FICTION,Combined Print & E-Book Fiction
4,HOUSE OF SKY AND BREATH,Sarah J. Maas,Bloomsbury,The second book in the Crescent City series. Bryce Quinlan and Hunt Athalar must choose to fight or stay silent.,4,2023-10-15,FICTION,Combined Print & E-Book Fiction
5,HOLLY,Stephen King,Scribner,The private detective Holly Gibney investigates whether a married pair of octogenarian academics had anything to do with Bonnie Dahl’s disappearance.,4,2023-10-15,FICTION,Combined Print & E-Book Fiction
6,HOUSE OF EARTH AND BLOOD,Sarah J. Maas,Bloomsbury,Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.,4,2023-10-15,FICTION,Combined Print & E-Book Fiction
7,TOM LAKE,Ann Patchett,Harper,"Three daughters, who return to their family orchard in the spring of 2020, learn about their mother’s relationship with a famous actor.",9,2023-10-15,FICTION,Combined Print & E-Book Fiction
8,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,47,2023-10-15,FICTION,Combined Print & E-Book Fiction
9,THINGS WE LEFT BEHIND,Lucy Score,Bloom,The third book in the Knockemout series. A mogul and a small-town librarian share a dark secret from their past.,4,2023-10-15,FICTION,Combined Print & E-Book Fiction
10,THE HOUSEMAID,Freida McFadden,Grand Central,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,16,2023-10-15,FICTION,Combined Print & E-Book Fiction
11,THE FRAGILE THREADS OF POWER,V.E. Schwab,Tor,"Tes, a girl who possesses a magical ability, has a device that might alter the fate of four worlds connected to London.",1,2023-10-15,FICTION,Combined Print & E-Book Fiction
12,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,15,2023-10-15,FICTION,Combined Print & E-Book Fiction
13,"BRIGHT LIGHTS, BIG CHRISTMAS",Mary Kay Andrews,St. Martin's,A Christmas tree farmer from North Carolina sets up a stand in Greenwich Village and comes to the aid of nearby residents.,1,2023-10-15,FICTION,Combined Print & E-Book Fiction
14,THE COVENANT OF WATER,Abraham Verghese,Grove,Three generations of a family living on South India’s Malabar Coast suffer the loss of a family member by drowning.,22,2023-10-15,FICTION,Combined Print & E-Book Fiction
0,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",21,2023-10-15,FICTION,Hardcover Fiction
1,THE RUNNING GRAVE,Robert Galbraith,Mulholland,"The seventh book in the Cormoran Strike series. Strike's business partner, Robin Ellacott, goes inside a cult to rescue someone who has joined it.",1,2023-10-15,FICTION,Hardcover Fiction
2,THE ARMOR OF LIGHT,Ken Follett,Viking,The fifth book in the Kingsbridge series. Change and turmoil affect various aspects of society in the latter part of the 18th century.,1,2023-10-15,FICTION,Hardcover Fiction
3,HOLLY,Stephen King,Scribner,The private detective Holly Gibney investigates whether a married pair of octogenarian academics had anything to do with Bonnie Dahl’s disappearance.,4,2023-10-15,FICTION,Hardcover Fiction
4,12 MONTHS TO LIVE,James Patterson and Mike Lupica,"Little, Brown",A criminal defense attorney who received a terminal diagnosis might be in danger of being murdered.,1,2023-10-15,FICTION,Hardcover Fiction
5,THE FRAGILE THREADS OF POWER,V.E. Schwab,Tor,"Tes, a girl who possesses a magical ability, has a device that might alter the fate of four worlds connected to London.",1,2023-10-15,FICTION,Hardcover Fiction
6,TOM LAKE,Ann Patchett,Harper,"Three daughters, who return to their family orchard in the spring of 2020, learn about their mother’s relationship with a famous actor.",9,2023-10-15,FICTION,Hardcover Fiction
7,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,73,2023-10-15,FICTION,Hardcover Fiction
